company_id,location,name
1016,None,PID Games
1017,None,SpaceCan
1018,None,Dambuster Studios
1019,None,ninjalex
1020,None,Senpai Studios
1021,None,Tate Multimedia
1022,None,Nippon Ichi Software
1023,None,NIS America
1024,None,Ubisoft - San Francisco
1025,None,Transhuman Design
1026,None,DDNet Team
1027,None,Leo B
1028,None,北京九鳳信息科技有限公司
1029,None,北京网元圣唐娱乐科技有限公司
1030,None,MAGES. Inc.
1031,None,JDM4iK Games
1032,None,Focus Home Interactive
1033,None,Legend Studio
1034,None,Abstraction Games
1035,None,Allods Team
1036,None,Music Guru LLC
1037,None,EarthWork Games
1038,None,YCJY Games
1039,None,Wiple Games
1040,None,Ink Stains Games
1041,None,HypeTrain Digital
1042,None,Amanita Design
1043,None,Dovetail Games - TSW
1044,None,Sos Sosowski
1045,None,Bithell Games
1046,None,Crows Crows Crows
1047,None,Weather Factory
1048,None,ArenaNet®
1049,None,Spellbound
1050,None,4HEAD Studios
1051,None,Proton Studio Inc
1052,None,Astronomic Games
1053,None,Studio II
1054,None,Gamers for Good
1055,None,NEKO WORKs
1056,None,Sekai Project
1057,None,Giant Squid
1058,None,Planetary Annihilation Inc
1059,None,The Bearded Ladies
1060,None,Meta Interaction
1061,None,Core Design
1062,None,Smorb Software
1063,None,The Game Kitchen
1064,None,Diminished Studios
1065,None,MicroProse Software
1066,None,Aleksandr Golovkin
1067,None,KK Game Studio
1068,None,S.C. 16 BIT NIGHTS S.R.L.
1069,None,PopCap
1070,None,Ryu Ga Gotoku Studio
1071,None,Young Horses
1072,None,Beautiful Glitch
1073,None,Bankroll Studios
1074,None,PixelTail Games
1075,None,Goldhawk Interactive
1076,None,Hempuli Oy
1077,None,Games by Malcs
1078,None,Crema
1079,None,Night School Studio
1080,None,yfyx games
1081,None,Mobius Digital
1082,None,TEAM HORAY
1083,None,甘肃嘉元数字科技有限公司
1084,None,Phoenix Games
1085,None,Changyou.com Limited
1086,None,Green Tile Digital
1087,None,ACE
1088,None,quad games
1089,None,HopFrog
1090,None,ION LANDS
1091,None,Maple Whispering Limited
1092,None,Gaming Corps AB
1093,None,Microids Indie
1094,None,Acid Nerve
1095,None,Misfits Attic
1096,None,Reality Pump
1097,None,NGD Studios
1098,None,Wargaming Labs
1099,None,THQ Nordic Barcelona
1100,None,Creability
1101,None,Toontraxx Studios
1102,None,Topware Interactive ACE
1103,None,AN Productions
1104,None,Poxpower
1105,None,Armor Games Studios
1106,None,NotGames
1107,None,Entrada Interactive LLC
1108,None,GamePrix
1109,None,Suba Games
